@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
1,0,1,0,?,?,?,?,?,?,?,?,1,0.2,0.096774,1,?,1,?,1,0.066667,?,AcademicJournal__AcademicJournal,-
0.62,12,0.148148,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Activity,+
0.608889,11,0.166667,0,?,?,?,?,?,?,?,?,0,0.2,0.023148,0,?,0,?,0,?,?,AcademicJournal__Actor,+
0.559286,18,0.051282,0,?,?,?,?,?,?,?,?,0,0.2,0.007634,0,?,0,?,0,?,?,AcademicJournal__AdministrativeRegion,+
0.59,11,0.068966,0,?,?,?,?,?,?,?,?,0,0.2,0.023148,0,?,0,?,0,?,?,AcademicJournal__AdultActor,+
0.1,12,0.074074,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Aircraft,+
0.488571,12,0.076923,0,?,?,?,?,?,?,?,?,0,0.2,0.016949,0,?,0,?,0,0.2,?,AcademicJournal__Airline,+
0.462857,11,0.076923,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Airport,+
0.56,13,0.083333,0,?,?,?,?,?,?,?,?,0,0.2,0.090909,0,?,0.000225,?,1,?,?,AcademicJournal__Album,+
0.65,12,0.068966,0,?,?,?,?,?,?,?,?,0,0.2,0.026316,0,?,0,?,0,0.233333,?,AcademicJournal__Ambassador,+
0.1,17,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AmericanFootballLeague,+
0.1,17,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0.025381,0,?,0,?,0,?,?,AcademicJournal__AmericanFootballPlayer,+
0.1,15,0.051282,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AmericanFootballTeam,+
0.1,12,0.071429,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Amphibian,+
0.711866,13,0.105263,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__AnatomicalStructure,+
0.1,11,0.24,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0.000225,?,1,?,?,AcademicJournal__Animal,+
0.5675,11,0.074074,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Arachnid,+
0.651429,12,0.076923,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Archaea,+
0.606667,13,0.071429,0,?,?,?,?,?,?,?,?,0,0.2,0.025773,0,?,0,?,0,?,?,AcademicJournal__Architect,+
0.669394,18,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__ArchitecturalStructure,+
0.54,12,0.08,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AcademicJournal__Artery,+
0.54,13,0.08,0,?,?,?,?,?,?,?,?,0,0.2,0.024155,0,?,0,?,0,?,?,AcademicJournal__Artist,+
0.1,12,0.071429,0,?,?,?,?,?,?,?,?,0,0.2,0.025907,0,?,0,?,0,?,?,AcademicJournal__Astronaut,+
