@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
0.451754,16,0,1,?,?,?,?,?,?,?,?,0,0.3125,0.142857,0,?,0,?,0,?,?,Abstract__BiogeographicRegion,+
0.441667,7,0,1,0.080859,0.067097,1.049822,31,?,0.071429,?,0.235294,0,0.375,0.142857,0,?,0,?,0,?,?,Abstract__Hotel,+
0.659091,7,0.086957,1,0.091426,0.055144,1.386294,27,?,0.1,?,0.307692,0,?,0.125,0,?,0,?,0,?,?,Accident__Archipelago,+
0.646429,6,0.105263,1,0.231435,0.063623,1.386294,44,0.090111,0.1,0.778298,0.4,0,0.5625,0.043478,0,?,0,?,0,?,?,Accident__Article,+
0.5,7,0,1,0.067915,0.055144,1.203973,21,?,0.083333,?,0.266667,0,0.375,0.0625,0,?,0,?,0,?,?,Accident__Chairman,+
0.409722,13,0.071429,1,?,?,?,?,?,?,?,?,0,0.125,0.076923,0,?,0,?,0,?,?,Accident__MilitaryConflict,-
0.490079,6,0.105263,1,0.192584,0.091286,1.742969,40,0.291582,0.142857,2.254436,0.625,0,0.125,0.076923,0,?,0,?,0,?,?,Accident__Project,+
0.490079,7,0,0,?,?,?,?,?,?,?,?,0,?,0.142857,0,?,0,?,0,?,?,Accident__Trusted,+
0,7,0,1,0.217308,0.07506,1.609438,93,0.348855,0.125,4.103951,0.588235,0,0.125,0.058824,0,?,0,?,0,?,?,Account__Currency,+
0.521645,20,0,1,?,?,?,?,?,?,?,?,0,0.3125,0.133333,0,?,0,?,0,?,?,Account__GovernmentOrganization,+
